Date,NVDA.US_Close,TSLA.US_Close,AAPL.US_Close,GOOG.US_Close,NVDA.US_High,TSLA.US_High,AAPL.US_High,GOOG.US_High,NVDA.US_Low,TSLA.US_Low,AAPL.US_Low,GOOG.US_Low,NVDA.US_Open,TSLA.US_Open,AAPL.US_Open,GOOG.US_Open,NVDA.US_Volume,TSLA.US_Volume,AAPL.US_Volume,GOOG.US_Volume
2023-12-29,495.197,248.48,192.53,140.93,499.947,255.19,194.4,141.435,487.487,247.43,191.725,139.9,498.107,255.1,193.9,140.68,38931156.961243,100891578.0,42672148.0,14880961.0
2023-12-28,495.197,253.18,193.58,141.28,498.816,265.13,194.66,142.27,494.097,252.71,193.17,140.8283,496.407,263.66,194.14,141.85,24659905.239975,113619943.0,34049898.0,12192549.0
2023-12-27,494.147,261.44,193.15,141.44,496.777,263.34,193.5,143.32,490.827,257.52,191.09,141.0512,495.087,258.35,192.49,142.83,23365894.514643,106494359.0,48087681.0,17288358.0
2023-12-26,492.767,256.61,193.05,142.82,495.977,257.97,193.89,143.945,489.577,252.91,192.83,142.5001,489.657,254.49,193.61,142.98,24421098.033231,86892382.0,28919310.0,11170066.0
2023-12-22,488.277,252.54,193.6,142.72,493.807,258.22,195.41,143.25,484.647,251.37,192.97,142.055,491.927,256.76,195.18,142.13,25251861.019275,93370094.0,37149570.0,18513524.0
2023-12-21,489.877,254.5,194.68,141.8,490.927,254.7999,197.08,142.03,484.167,248.55,193.5,140.4725,488.087,251.9,196.1,140.77,30043944.902176,109594227.0,46482549.0,18101476.0
2023-12-20,481.087,247.14,194.83,139.66,499.967,259.84,197.68,143.0783,480.957,247.0,194.83,139.41,496.527,256.41,196.9,140.33,39791306.32633,125096987.0,52242815.0,33507342.0
2023-12-19,496.017,257.22,196.94,138.1,496.977,258.3399,196.95,138.77,488.927,253.01,195.89,137.45,494.217,253.48,196.16,138.0,46446625.64714,106737369.0,40714051.0,20661000.0
2023-12-18,500.746,252.08,195.89,137.19,504.306,258.74,196.63,138.38,491.477,251.36,194.39,133.77,493.977,253.78,196.09,133.86,41260653.279841,116416490.0,55751861.0,25699767.0
2023-12-15,488.877,253.5,197.57,133.84,494.017,254.13,198.3999,134.83,481.177,248.3,197.0,132.63,481.917,251.21,197.53,132.92,47997010.403592,135932762.0,128538401.0,58594004.0
2023-12-14,483.477,251.05,198.11,133.2,486.677,253.88,199.62,135.035,474.198,240.79,196.16,131.06,483.877,241.22,198.02,134.77,39125010.05838,160829239.0,66831572.0,29619098.0
2023-12-13,480.857,239.29,197.96,133.97,485.917,240.3,198.0,134.78,476.058,228.2,194.85,132.95,476.268,234.19,195.09,134.545,44781287.496155,146286348.0,70404183.0,25414461.0
